,date,company_name,action,maya_link,html_link
116,12:31 07/01/2015,קולפלנט אחזקות ,מינוי נושא משרה-חשב-נועה וייץ פליישר,http://maya.tase.co.il/reports/details/942841,http://mayafiles.tase.co.il/RHtm/942001-943000/H942841.htm
117,10:51 07/01/2015,אילקס מדיקל ,"זימון אסיפה ל11.2-תנאי העסקת קרוב לב.שליטה,מינוי דירק'",http://maya.tase.co.il/reports/details/942776,http://mayafiles.tase.co.il/rpdf/942001-943000/P942776-00.pdf
118,17:27 06/01/2015,רוזבאד ,"מינוי מנכ""ל-אוצר צחי",http://maya.tase.co.il/reports/details/942639,http://mayafiles.tase.co.il/RHtm/942001-943000/H942639.htm
119,16:54 06/01/2015,אמניס תרפיוטיקס ,מינוי דירקטור בלתי תלוי-דוד גרוסמן,http://maya.tase.co.il/reports/details/942628,http://mayafiles.tase.co.il/RHtm/942001-943000/H942628.htm
120,16:25 06/01/2015,אמניס תרפיוטיקס ,"מינוי דח""צ - ליאת בנימיני",http://maya.tase.co.il/reports/details/942619,http://mayafiles.tase.co.il/RHtm/942001-943000/H942619.htm
121,13:09 06/01/2015,אמניס תרפיוטיקס ,"תוצ' אסיפה מ6.1-מינוי דירק ודח""צ,איחוד הון ביחס 10:1,תקנון",http://maya.tase.co.il/reports/details/942533,http://mayafiles.tase.co.il/RHtm/942001-943000/H942533.htm
122,12:38 06/01/2015,נעמן ,מינוי נושא משרה-מנהל מערכות מידע-דיטל יוסף,http://maya.tase.co.il/reports/details/942518,http://mayafiles.tase.co.il/RHtm/942001-943000/H942518.htm
123,11:18 06/01/2015,גרינסטון ,"תוצ' אסיפה כללית מיום 6.1.14, מינוי רו""ח ",http://maya.tase.co.il/reports/details/942498,http://mayafiles.tase.co.il/RHtm/942001-943000/H942498.htm
124,09:20 06/01/2015,אינטר תעשיות ,מינוי דירקטור-פופי פאטל,http://maya.tase.co.il/reports/details/942458,http://mayafiles.tase.co.il/RHtm/942001-943000/H942458.htm
125,08:46 06/01/2015,המלט ,מינוי נושא משרה-מנהל חב בת-Cambridge Fluid Systems-סטפן קלי,http://maya.tase.co.il/reports/details/942434,http://mayafiles.tase.co.il/RHtm/942001-943000/H942434.htm
126,18:47 05/01/2015,צמח המרמן ,אסיפה ב10.2.15-מינוי דירק' ולהעניק לה כתב התחייבות לשיפוי ,http://maya.tase.co.il/reports/details/942391,http://mayafiles.tase.co.il/RHtm/942001-943000/H942391.htm
127,18:34 05/01/2015,צמח המרמן ,אסיפה ב10.2.15-מינוי דירק' ולהעניק לה כתב התחייבות לשיפוי,http://maya.tase.co.il/reports/details/942383,http://mayafiles.tase.co.il/rpdf/942001-943000/P942383-00.pdf
128,11:01 05/01/2015,אלעזרא ,"מינוי נושא משרה-מנכ""ל אלבר שרותי מימונית -אורן אלעזרא",http://maya.tase.co.il/reports/details/942179,http://mayafiles.tase.co.il/RHtm/942001-943000/H942179.htm
129,09:22 05/01/2015,פרוטאולוג'יקס ,"מינוי יו""ר דירקטוריון - מנשה מרדכי",http://maya.tase.co.il/reports/details/942147,http://mayafiles.tase.co.il/RHtm/942001-943000/H942147.htm
130,20:00 04/01/2015,פרוטאולוג'יקס ,"זימון אסיפה מיוחדת ל-9.2.15-כתב הצבעה, מינוי דח""צים",http://maya.tase.co.il/reports/details/942110,http://mayafiles.tase.co.il/RHtm/942001-943000/H942110.htm
131,18:49 04/01/2015,ב.יאיר ,"מינוי נושא משרה-סמנכ""ל שיווק-דביר דודי",http://maya.tase.co.il/reports/details/942100,http://mayafiles.tase.co.il/RHtm/942001-943000/H942100.htm
132,18:34 04/01/2015,צאם ,"תוצ' אסיפה מ-4.1,הארכת שיפוי לנושאי משרה, מינוי דח""צית-תיקון",http://maya.tase.co.il/reports/details/942093,http://mayafiles.tase.co.il/RHtm/942001-943000/H942093.htm
133,18:09 04/01/2015,בי ג'י איי ,"זימון אסיפה מיוחדת ל-19.1.15, מינוי רו""ח",http://maya.tase.co.il/reports/details/942078,http://mayafiles.tase.co.il/RHtm/942001-943000/H942078.htm
134,17:32 04/01/2015,ארקו החזקות ,"מינוי מנכ""ל-אריה קוטלר",http://maya.tase.co.il/reports/details/942075,http://mayafiles.tase.co.il/RHtm/942001-943000/H942075.htm
135,14:14 04/01/2015,אלבר ,"מינוי מנכ""ל-אורן אלעזרא",http://maya.tase.co.il/reports/details/941883,http://mayafiles.tase.co.il/RHtm/941001-942000/H941883.htm
136,11:53 04/01/2015,אביב ארלון ,"מינוי נושא משרה-משנה למנכ""ל ומנהלת פיתוח עסקי-דפנה הרלב",http://maya.tase.co.il/reports/details/941825,http://mayafiles.tase.co.il/RHtm/941001-942000/H941825.htm
137,11:51 04/01/2015,אביב ארלון ,"מינוי מנכ""ל משותף-אלוני יפתח",http://maya.tase.co.il/reports/details/941824,http://mayafiles.tase.co.il/RHtm/941001-942000/H941824.htm
138,09:07 04/01/2015,נאוי ,מינוי נושא משרה-חשבת ומזכירת חברה-פרץ רחלי,http://maya.tase.co.il/reports/details/941741,http://mayafiles.tase.co.il/RHtm/941001-942000/H941741.htm
